MajorCollege,Major,CumulativeGPA,TotalLoansAccepted,TotalGrantsAccepted,TotalScholarshipsAccepted,GraduateCount,GPA_Score,Loan_Score,Graduate_Score,EmployabilityScore,NationalAvgDebt
College Of Pharmacy/Hlth Sci.,Biomedical Science,2.840948636363636,7216.52,4312.477771428571,1722.5998076923076,220,0.4950193553699396,0.7588159994493116,0.3788927335640138,0.5393203620519734,
College Of Pharmacy/Hlth Sci.,Clinical Laboratory Science,2.8241885714285715,5924.7037037037035,3778.5384615384614,673.3333333333334,35,0.48633684960896995,0.8349650644220636,0.05882352941176471,0.46267131799373645,
College Of Pharmacy/Hlth Sci.,Environmental Health,2.701,6100.0,3386.5714285714284,2200.0,11,0.4225193473941389,0.8246318234694446,0.01730103806228374,0.42158759741717405,
College Of Pharmacy/Hlth Sci.,Health Administration,2.965117073170732,6975.821705426357,3752.8275,1605.8278333333333,164,0.559344474161853,0.7730045107143181,0.2820069204152249,0.5402412190036041,29000.0
College Of Pharmacy/Hlth Sci.,Health Care Admin,3.725131818181818,12730.529411764706,3020.0,1270.1666666666667,22,0.9530680323668639,0.43378010838595127,0.03633217993079585,0.5222608994417697,
College Of Pharmacy/Hlth Sci.,Health Information Management,2.877875,9057.125,3742.705882352941,1062.5,20,0.5141489569703259,0.6503173296802283,0.032871972318339104,0.4106163733877006,
College Of Pharmacy/Hlth Sci.,Nutritional Sci. and Dietetics,3.042866666666667,7607.142857142857,3941.625,898.018,9,0.5996224382423605,0.7357898420818163,0.01384083044982699,0.4647381770564372,
College Of Pharmacy/Hlth Sci.,Pharmaceutical Sciences,3.7247,16250.0,,1515.158,16,0.9528443301398228,0.2263168682475497,0.025951557093425608,0.45681825965822176,
College Of Pharmacy/Hlth Sci.,Pharmacy,3.032062921348315,15269.081081081082,1170.5066666666667,4681.780135135135,178,0.5940255875541278,0.28413937652826715,0.3062283737024221,0.4147205600908579,
College Of Pharmacy/Hlth Sci.,Respiratory Therapy,2.9087159999999996,7898.070175438596,4010.241746031746,1511.358,75,0.5301260525968372,0.7186404661784723,0.12802768166089967,0.4660508653905465,
College of Transdisciplinary S,Creative Arts & Communication,2.83481875,5367.125,3467.909090909091,6412.02125,16,0.49184378451907684,0.8678328158643457,0.025951557093425608,0.4648728256949621,
